Cruise,Year,Latitude,Longitude,Sub,C_O,HTS,Depth,HgT,MeHg,DGM,DMHg,MMHg,pHg,pMMHg,Temp,Sal,O2_uM,Station,Date,Time,Season,QF_HgT,QF_DGM,QF_MeHg,QF_MMHg,QF_DMHg,SD_HgT,SD_DGM,SD_MeHg,FHgT,dfac,Type,E_W,Reference,DOI,FMeHg,date_time,Transmission,Fluo
URANIA 2000,2000,37.27,11.9,TYR2,open,none,0.5,1.480632135,0.319058777,0.21087791,,,,,25.17,37.63,NaN,StL,20/07/2000,00:30,summer,,,,,,,,,1.196470412,0-10,,west,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.199411735,,,
URANIA 2000,2000,35.08,14.27,ION1_2,open,none,0.5,2.078867341,0.249264669,0.164016152,,,,,26.72,38.5,NaN,StI,20/07/2000,23:30,summer,,,,,,,,,1.979161474,0-10,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.159529388,,,
URANIA 2000,2000,35.08,14.27,ION1_2,open,none,4000,1.385911561,0.264220549,0.24078967,,,,,13.94,38.69,NaN,StI,20/07/2000,23:30,summer,,,,,,,,,1.31113216,>3000,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.164514682,,,
URANIA 2000,2000,33.88,17.5,ION1_2,open,none,0.99,1.545440949,0.259235256,0.235804377,,,,,26.42,38.66,NaN,StH,20/07/2000,10:00,summer,,,,,,,,,1.321102747,0-10,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.194426442,,,
URANIA 2000,2000,33.88,17.5,ION1_2,open,none,20,1.495588015,0.259235256,0.122139688,,,,,26.4,38.65,NaN,StH,20/07/2000,10:00,summer,,,,,,,,,,Oct-50,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.194426442,,,
URANIA 2000,2000,33.88,17.5,ION1_2,open,none,100,1.545440949,0.259235256,0.169499975,,,,,15.09,38.57,NaN,StH,20/07/2000,10:00,summer,,,,,,,,,0.857470462,50-200,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.194426442,,,
URANIA 2000,2000,33.88,17.5,ION1_2,open,none,500,1.00204397,0.319058777,0.200907323,,,,,13.79,38.77,NaN,StH,20/07/2000,10:00,summer,,,,,,,,,0.827558702,400-600,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.149558802,,,
URANIA 2000,2000,33.88,17.5,ION1_2,open,none,1000,,0.264220549,0.177476444,,,,,13.61,38.72,NaN,StH,20/07/2000,10:00,summer,,,,,,,,,0.97213221,800-1000,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.149558802,,,
URANIA 2000,2000,33.88,17.5,ION1_2,open,none,2483,1.276235106,0.32404407,0.282666135,,,,,13.77,38.72,NaN,StH,20/07/2000,10:00,summer,,,,,,,,,1.01699985,2000-2600,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.149558802,,,
URANIA 2000,2000,36.78,18.62,ION3,open,none,2.98,1.969190887,0.244279376,0.144074979,,,,,25.01,38.42,NaN,StA,20/07/2000,13:30,summer,,,,,,,,,1.774764445,0-10,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.149558802,,,
URANIA 2000,2000,33.3,20.9,ION1_2,open,none,1.49,2.333117304,0.269205843,0.212373498,,,,,25.61,38.58,NaN,StG,20/07/2000,10:00,summer,,,,,,,,,1.081808664,0-10,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.159529388,,,
URANIA 2000,2000,34.08,24.53,LEV,open,none,2.48,1.346029214,0.189441149,0.071788225,,,,,23.1,38.98,NaN,StC,20/07/2000,06:00,summer,,,,,,,,,0.6032205,0-10,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.159529388,,,
URANIA 2000,2000,32.67,28,LEV,open,none,1.49,1.530485069,0.189441149,0.127623511,,,,,25.6,39.19,NaN,StE,20/07/2000,18:00,summer,,,,,,,,,1.156588065,0-10,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.159529388,,,
URANIA 2000,2000,34.73,28.05,LEV,open,none,1.99,1.066852784,0.329029363,0.139089685,,,,,23.6,39.24,NaN,StD,20/07/2000,03:00,summer,,,,,,,,,0.812602822,0-10,,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.159529388,,,
URANIA 2000,2000,39.42,6.08,NWM,open,none,0.5,1.346029214,0.30908819,0.072286754,,,,,25.57,37.33,NaN,St19,02/08/2000,18:30,summer,,,,,,,,,0.877411636,0-10,,west,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,0.199411735,,,
