Cruise,Year,Latitude,Longitude,Sub,C_O,HTS,Depth,HgT,Temp,Sal,O2_uM,Station,Date,Time,Season,dfac,E_W,Reference,DOI,date_time,Transmission,Fluo
URANIA 2000,2000,37.27,11.87,TYR2,open,none,0.99,2.123734982,24.01,37.33,NaN,StM,20/07/2000,14:30,summer,0-10,west,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,,,
URANIA 2000,2000,37.27,11.9,TYR2,open,none,0.5,1.480632135,25.17,37.63,NaN,StL,20/07/2000,00:30,summer,0-10,west,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,,,
URANIA 2000,2000,35.08,14.27,ION1_2,open,none,0.5,2.078867341,26.72,38.5,NaN,StI,20/07/2000,23:30,summer,0-10,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,,,
URANIA 2000,2000,35.08,14.27,ION1_2,open,none,4000,1.385911561,13.94,38.69,NaN,StI,20/07/2000,23:30,summer,>3000,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,,,
URANIA 2000,2000,33.88,17.5,ION1_2,open,none,0.99,1.545440949,26.42,38.66,NaN,StH,20/07/2000,10:00,summer,0-10,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,,,
URANIA 2000,2000,33.88,17.5,ION1_2,open,none,20,1.495588015,26.4,38.65,NaN,StH,20/07/2000,10:00,summer,Oct-50,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,,,
URANIA 2000,2000,33.88,17.5,ION1_2,open,none,100,1.545440949,15.09,38.57,NaN,StH,20/07/2000,10:00,summer,50-200,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,,,
URANIA 2000,2000,33.88,17.5,ION1_2,open,none,500,1.00204397,13.79,38.77,NaN,StH,20/07/2000,10:00,summer,400-600,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,,,
URANIA 2000,2000,33.88,17.5,ION1_2,open,none,2483,1.276235106,13.77,38.72,NaN,StH,20/07/2000,10:00,summer,2000-2600,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,,,
URANIA 2000,2000,36.78,18.62,ION3,open,none,2.98,1.969190887,25.01,38.42,NaN,StA,20/07/2000,13:30,summer,0-10,east,"Horvat et al., 2003",10.1016/S1352-2310(03)00249-8,,,
