Cruise,Year,Latitude,Longitude,Sub,C_O,HTS,Depth,MeHg,Temp,Sal,O2_uM,Station,Date,Time,Season,dfac,E_W,Reference,DOI,date_time,Transmission,Fluo
FixO3 2018,2018,41.3448,17.0038,SAD,open,none,2.366,0.05,21.4818,38.6496,265.39,BADU02,07/10/2018,21:25:20,autumn,0-10,east,unpublished,,,,
FixO3 2018,2018,41.3448,17.0038,SAD,open,none,27.343,0.08,17.7986,38.7434,222.27,BADU02,07/10/2018,21:25:20,autumn,Oct-50,east,unpublished,,,,
FixO3 2018,2018,41.3448,17.0038,SAD,open,none,55.142,0.14,15.5449,38.9119,219.67,BADU02,07/10/2018,21:25:20,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.3448,17.0038,SAD,open,none,100.836,0.19,15.1308,38.9433,208.87,BADU02,07/10/2018,21:25:20,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.3448,17.0038,SAD,open,none,122.049,0.32,14.7164,38.8769,210.21,BADU02,07/10/2018,21:25:20,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,2.305,0.02,21.455,38.8329,227.97,BADU09,08/10/2018,21:08:15,autumn,0-10,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,30.309,0.04,18.1844,38.738,281.28,BADU09,08/10/2018,21:08:15,autumn,Oct-50,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,50.569,0.09,15.8143,38.8514,245.08,BADU09,08/10/2018,21:08:15,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,69.986,0.61,15.2331,38.9128,218.22,BADU09,08/10/2018,21:08:15,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,100.244,0.28,14.7608,38.8967,211.41,BADU09,08/10/2018,21:08:15,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,300.218,0.17,14.0589,38.8431,225.98,BADU09,08/10/2018,21:08:15,autumn,200-400,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,400.198,0.1,14.0108,38.8484,229.95,BADU09,08/10/2018,21:08:15,autumn,400-600,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,500.52,0.16,13.9813,38.8461,230.74,BADU09,08/10/2018,21:08:15,autumn,400-600,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,600.405,0.23,13.8755,38.8297,230.38,BADU09,08/10/2018,21:08:15,autumn,600-800,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,800.246,0.07,13.5632,38.7934,227.53,BADU09,08/10/2018,21:08:15,autumn,800-1000,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,1000.162,0.16,13.3567,38.7714,224.36,BADU09,08/10/2018,21:08:15,autumn,1000-1600,east,unpublished,,,,
FixO3 2018,2018,41.7428,17.6917,SAD,open,none,1185.456,0.12,13.2563,38.7673,224.71,BADU09,08/10/2018,21:08:15,autumn,1000-1600,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,1.742,0.06,20.7908,38.685,227.22,E2M3A,08/10/2018,04:54:46,autumn,0-10,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,49.916,0.29,15.5679,38.8702,240.99,E2M3A,08/10/2018,04:54:46,autumn,Oct-50,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,99.475,0.13,14.9513,38.9197,209.29,E2M3A,08/10/2018,04:54:46,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,210.275,0.15,14.3338,38.8699,211.96,E2M3A,08/10/2018,04:54:46,autumn,200-400,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,319.763,0.19,14.0251,38.8486,229.21,E2M3A,08/10/2018,04:54:46,autumn,200-400,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,535.391,0.07,14.0015,38.85,229.63,E2M3A,08/10/2018,04:54:46,autumn,400-600,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,535.391,0.07,14.0015,38.85,230.16,E2M3A,08/10/2018,04:54:46,autumn,400-600,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,535.391,0.1,14.0015,38.85,229.61,E2M3A,08/10/2018,04:54:46,autumn,400-600,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,733.627,0.09,13.9163,38.8379,229.77,E2M3A,08/10/2018,04:54:46,autumn,600-800,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,900.784,0.09,13.5629,38.793,225.42,E2M3A,08/10/2018,04:54:46,autumn,800-1000,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,999.832,0.19,13.4282,38.7785,223.73,E2M3A,08/10/2018,04:54:46,autumn,800-1000,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,1100.043,0.19,13.3199,38.7689,222.85,E2M3A,08/10/2018,04:54:46,autumn,1000-1600,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,1159.767,0.21,13.2564,38.7675,222.89,E2M3A,08/10/2018,04:54:46,autumn,1000-1600,east,unpublished,,,,
FixO3 2018,2018,41.5337,18.0537,SAD,open,none,1176.617,0.26,13.2546,38.7675,223.35,E2M3A,08/10/2018,04:54:46,autumn,1000-1600,east,unpublished,,,,
FixO3 2018,2018,41.3933,17.0792,SAD,open,none,2.589,0.05,21.7206,38.5522,224.77,BADU04,09/10/2018,17:30:06,autumn,0-10,east,unpublished,,,,
FixO3 2018,2018,41.3933,17.0792,SAD,open,none,28.729,0.13,17.9685,38.7435,263.46,BADU04,09/10/2018,17:30:06,autumn,Oct-50,east,unpublished,,,,
FixO3 2018,2018,41.3933,17.0792,SAD,open,none,65.396,0.31,15.5595,38.9265,215.47,BADU04,09/10/2018,17:30:06,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.3933,17.0792,SAD,open,none,100.375,0.07,15.4475,38.9567,207.44,BADU04,09/10/2018,17:30:06,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.3933,17.0792,SAD,open,none,150.837,0.14,14.3433,38.8169,NaN,BADU04,09/10/2018,17:30:06,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.3933,17.0792,SAD,open,none,161.317,0.22,14.1792,38.7895,203.39,BADU04,09/10/2018,17:30:06,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.5175,17.273,SAD,open,none,1.805,0.06,21.2917,38.7586,227.79,BADU06,09/10/2018,13:44:07,autumn,0-10,east,unpublished,,,,
FixO3 2018,2018,41.5175,17.273,SAD,open,none,27.851,0.04,17.3212,38.7928,281.34,BADU06,09/10/2018,13:44:07,autumn,Oct-50,east,unpublished,,,,
FixO3 2018,2018,41.5175,17.273,SAD,open,none,50.101,0.04,15.8819,38.8444,251.71,BADU06,09/10/2018,13:44:07,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.5175,17.273,SAD,open,none,85.564,0.1,14.9573,38.8941,212.82,BADU06,09/10/2018,13:44:07,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.5175,17.273,SAD,open,none,100.464,0.1,14.8067,38.8975,210.62,BADU06,09/10/2018,13:44:07,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.5175,17.273,SAD,open,none,199.732,0.15,14.4201,38.8832,209.14,BADU06,09/10/2018,13:44:07,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.5175,17.273,SAD,open,none,300.16,0.09,14.1485,38.8496,219.76,BADU06,09/10/2018,13:44:07,autumn,200-400,east,unpublished,,,,
FixO3 2018,2018,41.5175,17.273,SAD,open,none,400.357,0.1,14.0128,38.8467,228.08,BADU06,09/10/2018,13:44:07,autumn,400-600,east,unpublished,,,,
FixO3 2018,2018,41.5175,17.273,SAD,open,none,500.31,0.12,13.9782,38.8444,228.73,BADU06,09/10/2018,13:44:07,autumn,400-600,east,unpublished,,,,
FixO3 2018,2018,41.5175,17.273,SAD,open,none,664.34,0.06,13.7606,38.8152,227.75,BADU06,09/10/2018,13:44:07,autumn,600-800,east,unpublished,,,,
FixO3 2018,2018,41.6405,17.514,SAD,open,none,0.95,0.03,21.0709,38.8409,230.13,BADU08,09/10/2018,00:17:30,autumn,0-10,east,unpublished,,,,
FixO3 2018,2018,41.6405,17.514,SAD,open,none,24.736,0.02,17.4385,38.8089,280.04,BADU08,09/10/2018,00:17:30,autumn,Oct-50,east,unpublished,,,,
FixO3 2018,2018,41.6405,17.514,SAD,open,none,50.06,0.06,15.5963,38.8912,238.73,BADU08,09/10/2018,00:17:30,autumn,50-200,east,unpublished,,,,
FixO3 2018,2018,41.6405,17.514,SAD,open,none,70.273,0.05,15.0198,38.8872,217.44,BADU08,09/10/2018,00:17:30,autumn,50-200,east,unpublished,,,,
